Gene Name,Chromosome Name,Gene Start (bp),Gene End (bp),Description
LOC_Os05g13760,Chr5,7625772,7626821,expressed protein
LOC_Os04g48060,Chr4,28597313,28600302,"RFC2 - Putative clamp loader of PCNA, replication factor C subunit 2, expressed"
LOC_Os08g28250,Chr8,17240161,17241233,expressed protein
LOC_Os10g13950,Chr10,7580575,7582846,expressed protein
LOC_Os05g46430,Chr5,26901983,26905011,"60S ribosomal protein L28-1, putative, expressed"
LOC_Os02g11970,Chr2,6205390,6207367,expressed protein
LOC_Os02g39390,Chr2,23769390,23772842,expressed protein
LOC_Os03g29389,Chr3,16739597,16741076,hypothetical protein
LOC_Os08g01590,Chr8,352086,353832,expressed protein
LOC_Os02g29800,Chr2,17732125,17732442,expressed protein
LOC_Os01g73620,Chr1,42646047,42654120,expressed protein
LOC_Os07g41170,Chr7,24642292,24643406,expressed protein
LOC_Os04g43580,Chr4,25790014,25791567,"DUF640 domain containing protein, putative, expressed"
LOC_Os10g22580,Chr10,11716553,11717867,hypothetical protein
LOC_Os05g01840,Chr5,499094,500440,hypothetical protein
LOC_Os08g36330,Chr8,22888647,22893050,"POLE2B - Putative DNA polymerase epsilon complex subunit, expressed"
LOC_Os02g37500,Chr2,22636061,22636963,expressed protein
LOC_Os02g37440,Chr2,22607316,22609208,expressed protein
LOC_Os03g03710,Chr3,1653196,1661442,"ribonuclease protein, putative, expressed"
LOC_Os01g36930,Chr1,20581615,20589583,"ubiquitin carboxyl-terminal hydrolase 6, putative, expressed"
LOC_Os03g43930,Chr3,24651800,24657650,"START domain containing protein, expressed"
LOC_Os01g50032,Chr1,28740236,28744474,expressed protein
ChrUn.fgenesh.gene.37,ChrUn,223271,224365,expressed protein
LOC_Os07g47390,Chr7,28339687,28340470,"C2 domain containing protein, putative, expressed"
LOC_Os10g31650,Chr10,16590298,16591137,"glycosyl transferase 8 domain containing protein, putative, expressed"
LOC_Os01g23870,Chr1,13436891,13438586,expressed protein
LOC_Os07g12090,Chr7,6746861,6747163,"LTPL165 - Protease inhibitor/seed storage/LTP family protein precursor, expressed"
LOC_Os07g01760,Chr7,446619,451162,"aminotransferase, classes I and II, domain containing protein, expressed"
LOC_Os10g29940,Chr10,15544921,15545205,expressed protein
LOC_Os04g54040,Chr4,32206661,32207610,expressed protein
LOC_Os03g10060,Chr3,5078136,5081710,"S10/S20 domain containing ribosomal protein, putative, expressed"
LOC_Os09g05020,Chr9,2697267,2702745,"tyrosine phosphatase family protein, putative, expressed"
LOC_Os02g48050,Chr2,29415150,29416743,hypothetical protein
LOC_Os09g27420,Chr9,16654464,16658667,"formate--tetrahydrofolate ligase, putative, expressed"
LOC_Os06g35300,Chr6,20581980,20583058,"polygalacturonase, putative, expressed"
LOC_Os02g13650,Chr2,7321447,7322891,expressed protein
LOC_Os10g05580,Chr10,2773035,2774542,expressed protein
LOC_Os10g26150,Chr10,13553061,13553303,expressed protein
LOC_Os05g10790,Chr5,5960995,5962829,expressed protein
LOC_Os08g05380,Chr8,2838127,2838734,expressed protein
LOC_Os12g14320,Chr12,8155454,8155852,expressed protein
LOC_Os02g01350,Chr2,187478,192123,expressed protein
LOC_Os07g44004,Chr7,26302458,26306452,expressed protein
LOC_Os04g01290,Chr4,219523,222825,"proteasome subunit, putative, expressed"
LOC_Os07g06380,Chr7,3101711,3104241,"peroxidase precursor, putative, expressed"
LOC_Os04g49920,Chr4,29770168,29773759,"sensitivity to red light reduced protein 1, putative, expressed"
LOC_Os01g51300,Chr1,29501122,29506955,"WD domain, G-beta repeat domain containing protein, expressed"
LOC_Os08g22190,Chr8,13389019,13389835,expressed protein
LOC_Os01g63890,Chr1,37069394,37071912,"G10 protein, putative, expressed"
LOC_Os02g38820,Chr2,23465969,23468071,expressed protein
LOC_Os06g40580,Chr6,24194693,24195857,expressed protein
LOC_Os12g34920,Chr12,21254014,21257386,"csAtPR5, putative, expressed"
LOC_Os06g34190,Chr6,19908062,19908942,expressed protein
LOC_Os10g06970,Chr10,3629398,3629619,expressed protein
LOC_Os11g03670,Chr11,1429206,1432727,"Mpv17 / PMP22 family domain containing protein, expressed"
LOC_Os01g65310,Chr1,37887605,37890519,"DUF803 domain containing, putative, expressed"
LOC_Os02g33980,Chr2,20258126,20258521,expressed protein
LOC_Os10g34602,Chr10,18446071,18449621,"csAtPR5, putative, expressed"
LOC_Os07g28180,Chr7,16454590,16455322,expressed protein
LOC_Os04g12970,Chr4,7156820,7159820,"UDP-glucoronosyl/UDP-glucosyl transferase, putative, expressed"
LOC_Os02g32060,Chr2,18936317,18939517,"hydrolase, NUDIX family, domain containing protein, expressed"
LOC_Os02g15820,Chr2,8938128,8943651,"extra-large G-protein-related, putative, expressed"
LOC_Os02g56950,Chr2,34905434,34910822,expressed protein
LOC_Os06g06540,Chr6,3067709,3068737,"AP2 domain containing protein, expressed"
LOC_Os09g22440,Chr9,13553668,13558094,expressed protein
LOC_Os03g56780,Chr3,32344010,32345288,expressed protein
LOC_Os01g03300,Chr1,1335864,1337407,"seven in absentia protein family protein, expressed"
LOC_Os06g12230,Chr6,6570778,6572727,"TCP-domain protein, putative, expressed"
LOC_Os12g42550,Chr12,26425320,26430083,"methyl-CpG binding domain containing protein, putative, expressed"
LOC_Os06g42810,Chr6,25737416,25741547,"UBA and UBX domain-containing protein, putative, expressed"
LOC_Os09g19900,Chr9,11909038,11912724,"WD domain, G-beta repeat domain containing protein, expressed"
LOC_Os12g39270,Chr12,24168946,24171504,"retrotransposon protein, putative, unclassified, expressed"
LOC_Os06g01990,Chr6,555518,556547,"phosphoglycolate phosphatase, plasmid, putative, expressed"
LOC_Os01g33840,Chr1,18622231,18624007,"heat shock protein binding protein, putative, expressed"
LOC_Os04g02690,Chr4,1024131,1026339,"pattern formation protein EMB30, putative, expressed"
LOC_Os06g22820,Chr6,13302546,13306574,"cyclin-dependent kinase F-1, putative, expressed"
LOC_Os02g37010,Chr2,22350068,22352009,"flavin-containing monooxygenase family protein, putative, expressed"
LOC_Os11g12320,Chr11,6875946,6877418,"disease resistance protein RPM1, putative, expressed"
LOC_Os11g34570,Chr11,20239369,20240647,"lysM domain-containing GPI-anchored protein precursor, putative, expressed"
LOC_Os02g14929,Chr2,8326083,8343178,"T-complex protein, putative, expressed"
LOC_Os01g42340,Chr1,24038087,24040195,expressed protein
LOC_Os08g05340,Chr8,2808273,2813026,expressed protein
LOC_Os05g03884,Chr5,1724452,1730943,"homeobox protein knotted-1-like 6, putative, expressed"
LOC_Os08g31930,Chr8,19796449,19801162,"BRCA1 C Terminus domain containing protein, expressed"
LOC_Os08g10730,Chr8,6313872,6315622,expressed protein
LOC_Os07g39260,Chr7,23502914,23504391,expressed protein
LOC_Os01g42900,Chr1,24408469,24410460,"ABC-2 type transporter domain containing protein, expressed"
LOC_Os09g18520,Chr9,11348302,11349993,"oxidoreductase, 2OG-Fe oxygenase family protein, putative, expressed"
LOC_Os01g16980,Chr1,9711615,9712419,expressed protein
LOC_Os07g47700,Chr7,28494715,28498126,"NAD dependent epimerase/dehydratase family domain containing protein, expressed"
LOC_Os05g12800,Chr5,7341103,7341369,expressed protein
LOC_Os12g43440,Chr12,26956142,26956894,"thaumatin, putative, expressed"
LOC_Os12g42960,Chr12,26686790,26689406,expressed protein
LOC_Os06g28730,Chr6,16353727,16354521,expressed protein
LOC_Os07g28810,Chr7,16869074,16870353,expressed protein
LOC_Os02g03500,Chr2,1423842,1424090,expressed protein
LOC_Os04g45180,Chr4,26709264,26712512,"EF hand family protein, expressed"
LOC_Os07g28660,Chr7,16775194,16775821,"ice-structuring glycoprotein precursor, putative, expressed"
LOC_Os01g52750,Chr1,30344079,30349015,"OsSub3 - Putative Subtilisin homologue, expressed"
LOC_Os01g04280,Chr1,1902736,1905247,"calmodulin binding protein, putative, expressed"
LOC_Os09g20684,Chr9,12454365,12460996,"SMP-30/Gluconolaconase/LRE-like region containing protein, expressed"
LOC_Os12g01390,Chr12,249725,259877,"clathrin heavy chain, putative, expressed"
LOC_Os10g32280,Chr10,16943855,16944303,expressed protein
LOC_Os05g31680,Chr5,18433311,18437696,expressed protein
LOC_Os10g04510,Chr10,2143364,2144422,expressed protein
LOC_Os06g17970,Chr6,10445052,10451152,"NBS-LRR disease resistance protein, putative, expressed"
LOC_Os09g17730,Chr9,10834936,10844001,"proton pump interactor, putative, expressed"
LOC_Os04g14410,Chr4,8064649,8072284,expressed protein
LOC_Os07g04370,Chr7,1937867,1939394,expressed protein
LOC_Os12g11790,Chr12,6392916,6394254,expressed protein
LOC_Os09g08300,Chr9,4290113,4291626,expressed protein
LOC_Os03g44540,Chr3,25069060,25074703,"nuclear transcription factor Y subunit, putative, expressed"
LOC_Os11g43770,Chr11,26443000,26444475,"Leucine Rich Repeat family protein, expressed"
LOC_Os02g51580,Chr2,31594562,31595126,expressed protein
LOC_Os11g05790,Chr11,2677568,2679826,expressed protein
LOC_Os06g50590,Chr6,30619787,30620220,expressed protein
LOC_Os02g54040,Chr2,33102626,33102904,expressed protein
LOC_Os11g20050,Chr11,11541331,11541799,expressed protein
LOC_Os11g37970,Chr11,22511506,22512404,"WIP5 - Wound-induced protein precursor, expressed"
LOC_Os10g08220,Chr10,4442799,4443338,expressed protein
LOC_Os08g03860,Chr8,1840446,1841245,expressed protein
LOC_Os09g29800,Chr9,18111330,18113596,expressed protein
LOC_Os01g57520,Chr1,33234245,33235084,expressed protein
LOC_Os06g39670,Chr6,23554113,23554874,hypothetical protein
LOC_Os06g01340,Chr6,209204,210107,"CCT/B-box zinc finger protein, putative, expressed"
LOC_Os08g21554,Chr8,12838368,12840823,expressed protein
LOC_Os03g06740,Chr3,3427543,3432272,"glutathione reductase, putative, expressed"
LOC_Os02g05350,Chr2,2572269,2572787,expressed protein
ChrUn.fgenesh.gene.82,ChrUn,527759,530024,hypothetical protein
LOC_Os03g20020,Chr3,11283340,11287896,"plant neutral invertase domain containing protein, expressed"
LOC_Os02g06160,Chr2,3076495,3078826,"cysteine-rich receptor-like protein kinase 16 precursor, putative, expressed"
LOC_Os01g01930,Chr1,509387,510112,expressed protein
LOC_Os02g14880,Chr2,8289302,8289688,hypothetical protein
LOC_Os05g30340,Chr5,17581259,17588207,expressed protein
LOC_Os04g58370,Chr4,34732769,34733344,expressed protein
LOC_Os07g49520,Chr7,29656860,29662509,"2-oxoglutarate dehydrogenase E1 component, mitochondrial precursor, putative, expressed"
LOC_Os03g12040,Chr3,6318694,6319298,expressed protein
LOC_Os09g21919,Chr9,13273134,13277254,expressed protein
LOC_Os05g23670,Chr5,13573857,13579655,"transcription factor jumonji, putative, expressed"
LOC_Os12g20090,Chr12,11679027,11679542,expressed protein
LOC_Os06g30690,Chr6,17793299,17794116,"alcohol oxidase-related, putative, expressed"
LOC_Os09g14460,Chr9,8549609,8550699,"retrotransposon protein, putative, unclassified"
LOC_Os06g48510,Chr6,29347847,29352146,"choline monooxygenase, chloroplast precursor, putative, expressed"
LOC_Os01g16470,Chr1,9349280,9351336,"phosphatidylinositol kinase, putative, expressed"
LOC_Os08g17640,Chr8,10781485,10782405,"ZOS8-02 - C2H2 zinc finger protein, expressed"
LOC_Os03g15110,Chr3,8252282,8253416,expressed protein
LOC_Os12g27740,Chr12,16360687,16361217,expressed protein
LOC_Os05g11470,Chr5,6489891,6490985,expressed protein
LOC_Os12g04520,Chr12,1922208,1926699,"FAD-binding and arabino-lactone oxidase domains containing protein, putative, expressed"
LOC_Os01g74160,Chr1,42960106,42964990,"carboxyl-terminal peptidase, putative, expressed"
LOC_Os12g28710,Chr12,16964046,16965648,"ATPase 3, putative, expressed"
LOC_Os04g08330,Chr4,4446649,4446960,expressed protein
LOC_Os06g05450,Chr6,2461242,2462587,expressed protein
LOC_Os01g34580,Chr1,19070908,19071216,hypothetical protein
LOC_Os05g34670,Chr5,20568919,20573667,"KH domain containing protein, putative, expressed"
LOC_Os02g20900,Chr2,12353888,12354671,hypothetical protein
LOC_Os12g30540,Chr12,18334665,18349360,"ubiquitin carboxyl-terminal hydrolase, putative, expressed"
LOC_Os10g36050,Chr10,19262470,19264060,hypothetical protein
LOC_Os07g49180,Chr7,29450855,29453709,"retrotransposon protein, putative, unclassified, expressed"
LOC_Os03g04940,Chr3,2380026,2384652,"methyltransferase, putative, expressed"
LOC_Os07g18154,Chr7,10748746,10760848,"aldehyde oxidase 4, putative, expressed"
LOC_Os05g36090,Chr5,21388694,21392697,"zinc finger DHHC domain-containing protein, putative, expressed"
LOC_Os01g56640,Chr1,32675440,32681407,"transcription factor jumonji, putative, expressed"
LOC_Os10g09680,Chr10,5234208,5235343,expressed protein
LOC_Os01g65420,Chr1,37968952,37970334,expressed protein
LOC_Os11g40770,Chr11,24385056,24385730,expressed protein
LOC_Os09g25460,Chr9,15251886,15256328,"transferase family protein, putative, expressed"
LOC_Os03g48230,Chr3,27448809,27449258,expressed protein
LOC_Os04g44900,Chr4,26572700,26575257,"lectin-like receptor kinase, putative, expressed"
LOC_Os02g56590,Chr2,34667516,34669923,expressed protein
LOC_Os07g01260,Chr7,154830,158601,"la domain containing protein, expressed"
LOC_Os10g42439,Chr10,22861341,22875955,"heat shock protein DnaJ, putative, expressed"
LOC_Os12g03360,Chr12,1305139,1307108,"EMB1379, putative, expressed"
LOC_Os07g30620,Chr7,18124655,18126401,"cytokinin-O-glucosyltransferase 2, putative, expressed"
LOC_Os03g28980,Chr3,16449347,16451968,"WD40-like Beta Propeller Repeat family protein, expressed"
LOC_Os12g39470,Chr12,24322659,24324608,hypothetical protein
LOC_Os09g10660,Chr9,5817870,5819446,expressed protein
LOC_Os05g04460,Chr5,2053474,2057590,"OsWAK56 - OsWAK receptor-like protein kinase, expressed"
LOC_Os06g08520,Chr6,4205532,4206995,"transposon protein, putative, unclassified, expressed"
LOC_Os10g38960,Chr10,20764158,20766182,"lectin-like receptor kinase, putative, expressed"
LOC_Os12g10820,Chr12,5822599,5829161,expressed protein
LOC_Os04g17230,Chr4,9444010,9444387,expressed protein
LOC_Os06g44030,Chr6,26529298,26538141,"WD domain, G-beta repeat domain containing protein, expressed"
LOC_Os10g03280,Chr10,1388805,1389186,expressed protein
LOC_Os08g01040,Chr8,26272,33518,"zinc finger, C3HC4 type domain containing protein, expressed"
LOC_Os12g41715,Chr12,25828364,25832900,"DEAD-box ATP-dependent RNA helicase, putative, expressed"
LOC_Os09g11270,Chr9,6251862,6260858,"enhancer of polycomb, putative, expressed"
LOC_Os06g47260,Chr6,28651070,28652604,"ras-related protein, putative, expressed"
LOC_Os03g21690,Chr3,12380398,12385553,"lung seven transmembrane domain containing protein, putative, expressed"
LOC_Os03g63430,Chr3,35833974,35838008,"proteasome subunit, putative, expressed"
LOC_Os08g01130,Chr8,87245,91948,"flap endonuclease, putative, expressed"
LOC_Os10g38740,Chr10,20633312,20634954,"glutathione S-transferase, putative, expressed"
LOC_Os01g49360,Chr1,28376398,28379686,"FAD-binding and arabino-lactone oxidase domains containing protein, putative, expressed"
LOC_Os03g30519,Chr3,17409991,17412954,expressed protein
LOC_Os02g22480,Chr2,13417119,13420215,"glycosyltransferase, putative, expressed"
LOC_Os07g40920,Chr7,24490976,24492434,"APO, putative, expressed"
LOC_Os09g27900,Chr9,16963593,16965490,"plastidic glucose transporter 1, putative, expressed"
LOC_Os02g44290,Chr2,26797325,26799208,"phosphatase, putative, expressed"
LOC_Os05g03110,Chr5,1231013,1232497,"PWWP domain containing protein, expressed"
LOC_Os02g10820,Chr2,5744792,5748141,"Sel1 repeat domain containing protein, putative, expressed"
LOC_Os08g06290,Chr8,3464703,3466302,expressed protein
LOC_Os11g47930,Chr11,28901999,28904573,"alpha-hemolysin, putative, expressed"
LOC_Os07g35770,Chr7,21426350,21427495,TKL_IRAK_DUF26-ld.4 - DUF26 kinases have homology to DUF26 containing loci
LOC_Os02g40510,Chr2,24569294,24572560,"response regulator receiver domain containing protein, expressed"
LOC_Os04g55720,Chr4,33167054,33169943,"D-3-phosphoglycerate dehydrogenase, chloroplast precursor, putative, expressed"
LOC_Os08g09120,Chr8,5280274,5280794,expressed protein
LOC_Os03g34120,Chr3,19440465,19441093,hypothetical protein
LOC_Os04g35920,Chr4,21897084,21904760,"nonsense-mediated decay UPF3, putative, expressed"
LOC_Os07g23169,Chr7,13057792,13068285,"methyltransferase, putative, expressed"
LOC_Os07g42200,Chr7,25255060,25260015,"tyrosine protein kinase domain containing protein, putative, expressed"
LOC_Os02g49750,Chr2,30407268,30407687,expressed protein
LOC_Os02g40460,Chr2,24531291,24534829,"S1 RNA binding domain containing protein, expressed"
LOC_Os04g22840,Chr4,12938149,12942258,"transposon protein, putative, CACTA, En/Spm sub-class, expressed"
LOC_Os11g11370,Chr11,6308501,6310797,expressed protein
LOC_Os06g47620,Chr6,28831589,28837128,"peptidase, putative, expressed"
LOC_Os08g43800,Chr8,27653498,27654202,"carrier, putative, expressed"
LOC_Os12g39860,Chr12,24636908,24639850,"phosphoribosyl transferase, putative, expressed"
LOC_Os04g28100,Chr4,16590469,16593924,"spotted leaf 11, putative, expressed"
LOC_Os06g27670,Chr6,15662498,15663871,expressed protein
LOC_Os02g45920,Chr2,27984937,27989356,expressed protein
LOC_Os05g23320,Chr5,13308222,13312450,expressed protein
LOC_Os12g33434,Chr12,20203068,20206119,"transposon protein, putative, CACTA, En/Spm sub-class, expressed"
LOC_Os05g50350,Chr5,28848045,28850435,"MYB family transcription factor, putative, expressed"
LOC_Os10g39760,Chr10,21253567,21256697,"WD domain, G-beta repeat domain containing protein, expressed"
LOC_Os03g20870,Chr3,11816373,11818258,"zinc finger, C3HC4 type domain containing protein, expressed"
LOC_Os10g40990,Chr10,22012567,22014325,"flavonol synthase/flavanone 3-hydroxylase, putative, expressed"
LOC_Os07g17340,Chr7,10236397,10241541,"transposon protein, putative, CACTA, En/Spm sub-class, expressed"
LOC_Os03g62670,Chr3,35467630,35469814,expressed protein
LOC_Os06g23620,Chr6,13775352,13775953,expressed protein
LOC_Os04g41370,Chr4,24538462,24541590,"Leucine Rich Repeat family protein, expressed"
LOC_Os08g09890,Chr8,5706417,5709046,expressed protein
LOC_Os01g61700,Chr1,35692800,35693786,"ATP-dependent Clp protease adaptor protein ClpS containing protein, expressed"
LOC_Os11g02840,Chr11,959796,961058,"protein kinase, putative, expressed"
LOC_Os12g05709,Chr12,2635628,2636887,"F-box domain containing protein, expressed"
LOC_Os12g32770,Chr12,19792032,19794091,expressed protein
LOC_Os12g42150,Chr12,26128587,26130776,"WD domain, G-beta repeat domain containing protein, expressed"
LOC_Os04g02820,Chr4,1093337,1098664,"elongation factor, putative, expressed"
LOC_Os03g07090,Chr3,3624833,3625902,expressed protein
LOC_Os09g26300,Chr9,15891729,15892987,"hypro1, putative, expressed"
LOC_Os05g29710,Chr5,17175702,17177087,"RING-H2 finger protein, putative, expressed"
LOC_Os09g19500,Chr9,11664442,11667860,"senescence-induced receptor-like serine/threonine-protein kinase precursor, putative, expressed"
